hour_bin,transactions,average_risk,observed_fraud,risk_baseline,risk_std,risk_lift,z_score,spike_score,transaction_risk_score,final_risk_score,severity,explanation,alert
3834,190,0.03412646390765077,0,0.038820388031957885,0.013413545256594184,0.8790861101016568,-0.34993911262941857,15.204689110610534,3.412646390765077,8.12946347870326,LOW,190 transactions in window,False
3835,207,0.03491977629079005,5,0.03880659046600073,0.013418397492767723,0.8998413896058196,-0.2896630672407495,15.451519847489397,3.491977629079005,8.275794516443163,LOW,207 transactions in window,False
3836,200,0.04115635586293969,4,0.0385298999140691,0.013427607431728526,1.0681666953386388,0.19560118675084703,15.863669218062293,4.115635586293969,8.814849039001299,LOW,200 transactions in window,False
3837,173,0.03877167951966208,5,0.03857742814336899,0.013435111801469826,1.005035363569888,0.014458486030004,14.972599256954872,3.877167951966208,8.315340473961674,LOW,173 transactions in window,False
3838,187,0.032235099574952714,11,0.038500763737315695,0.013428247299004187,0.8372587046555086,-0.46660327463790685,15.158858955329643,3.2235099574952715,7.99764955662902,LOW,187 transactions in window,False
3839,202,0.039766771904941156,0,0.038204430795841175,0.013487102935937688,1.0408942386145967,0.11583963706074876,15.68778818201756,3.9766771904941156,8.661121587103494,LOW,202 transactions in window,False
3840,192,0.025862130323012322,0,0.037810517156419955,0.013287953774887428,0.6839930333674666,-0.8991893737611122,15.23484435910609,2.5862130323012322,7.645665563023176,LOW,192 transactions in window,False
3841,145,0.026533892727876082,3,0.037261783574294736,0.01350547300287297,0.712094005778635,-0.7943365511253512,14.426931569866197,2.6533892727876083,7.362806191619043,LOW,145 transactions in window,False
3842,145,0.024446634086823564,4,0.037011814023463936,0.013651528929525817,0.6605089410458354,-0.9204229065847807,14.426931569866197,2.444663408682356,7.237570673155893,LOW,145 transactions in window,False
3843,98,0.0316821871711367,2,0.03622117346970501,0.013812672248744818,0.8746869340838814,-0.3286102947227157,13.302309886268818,3.16821871711367,7.2218551847757295,LOW,no major anomaly detected,False
3844,57,0.05328548698983893,5,0.035472600486185106,0.013537458066477296,1.5021590258258934,1.3158221001447636,19.468454783395593,5.3285486989838935,10.984511132748574,LOW,risk 1.5x above recent baseline,False
3845,30,0.05670314523438188,4,0.03540754268230922,0.01344372908726812,1.6014425441252844,1.5840547227510446,21.752476023402206,5.670314523438188,12.103179123423795,LOW,risk 1.6x above recent baseline,False
3846,16,0.038141770916936976,1,0.03598236674474645,0.014059197450822838,1.0600128442775603,0.1535937011869868,8.651902401502038,3.8141770916936975,5.749267215617033,LOW,no major anomaly detected,False
3847,10,0.04509154264176429,0,0.036029067723917,0.014064657820718455,1.2515323179409217,0.6443437894733197,8.828105886248007,4.509154264176429,6.23673491300506,LOW,no major anomaly detected,False
3848,10,0.04053550321864381,0,0.03426033384933977,0.009096791057930185,1.1831613607999028,0.6898223042985718,8.315323707690366,4.053550321864381,5.7582596761947755,LOW,no major anomaly detected,False
3849,14,0.029478504610843247,3,0.034759707827072286,0.009098680873747312,0.8480653737798157,-0.5804361411847127,7.839474080655171,2.947850461084325,4.904499908912664,LOW,no major anomaly detected,False
3850,28,0.02652059255844365,1,0.03518118136892187,0.008573597716488883,0.7538289371337383,-1.0101463932488965,9.74790953665961,2.652059255844365,5.490399368170463,LOW,no major anomaly detected,False
3851,55,0.02384690863457509,6,0.03534052333400995,0.008364463133786873,0.6747751981257736,-1.3741007062375938,11.652900759445203,2.384690863457509,6.091974821852586,LOW,no major anomaly detected,False
3852,105,0.028354374928197673,2,0.035144791725739574,0.008582527601018115,0.8067873939748321,-0.7911907905471085,13.500085740702167,2.8354374928197674,7.101296791972728,LOW,105 transactions in window,False
3853,171,0.0308644795100494,1,0.03532005128438724,0.008388971256633784,0.8738514919340628,-0.5311225462614966,14.901366863461494,3.08644795100494,7.812415515987562,LOW,171 transactions in window,False
3854,160,0.03437577756846352,4,0.03522800908972977,0.008426725241461886,0.9758081270191705,-0.10113436677311202,14.710044073928238,3.4375777568463524,7.946564283679107,LOW,160 transactions in window,False
